7.6,6.8,8.5,0.5
9.1,4.6,8.4,1.4
1.7,2.3,1.1,1
16.9,1.4,4.1,3.5
11.3,15.5,6.4,20
46.4,28,33.6,44.6
1.8,4.5,2.3,5
25.1,30.7,32.5,18.2
4.8,1,5.6,2.3
6.6,2.7,3.6,3.9
0.6,0.7,3.4,0.9
0.8,0.9,0.9,1.3
2.6,1.5,0.9,3.2
6,5.1,9,1.8
41.7,31,22.2,17.5
48.6,60.1,42.1,40.5
582.3,807.9,820.4,518.3
24.1,21.9,9.4,5
15.9,15.4,8.7,1.6
1.9,7.1,4.3,7.5
2.2,2.2,1.5,6.4
7.6,5,2.2,6.1
7.8,9.3,10.9,15.3
17.1,15.9,17.7,7.9
7.1,11.2,12,0.4
3.6,9.3,28.9,20.4
4.8,16.9,3.6,18.5
0.7,0.9,0.9,7.6
0.4,5,9.4,0.7
0.9,1.1,0.8,1
3.7,5.3,3.7,3.9
6,4.5,7.4,16.4
92.7,74.4,61.2,51.8
3.1,1.8,7.4,2.4
29.3,25.4,24.7,15.8
8.6,2.4,6.9,6.8
2.3,1.3,8.9,1.8
1.1,2.9,6.9,3.1
1.7,2,1.5,3
13.8,5.6,13.2,8.1
120.3,129,118.7,124
45,55.4,38.7,55
38.1,38.5,38.8,77.1
54.4,48.7,48.7,47
120,104.1,99.7,141.7
14.7,27.5,20.7,14.5
308.1,245.1,249.6,309.2
87,85.1,85.5,103.9
266.9,291.5,215.3,277.9
66.6,84.3,55.9,89
94.3,242,268.9,158.6
60.9,164.2,189.6,85
6.9,1.8,3.2,1.8
104.1,126.4,146.1,113.8
12,11.5,11.7,7.9
90.2,104.8,74.1,104.2
336.6,496,453.9,270.7
1.3,5.6,3.1,2.7
19.1,9.1,10.5,15.5
11.7,18,11.3,2.9
45,53,62.8,103.2
33.1,47,40.7,32.6
29.1,38.3,34.4,28.8
1.8,8.3,12.5,9.7
8.6,1.7,18.4,11.9
90.9,30.3,32.3,92.1
64.1,78.3,70.5,75.3
36.5,44.5,46.1,44.9
86.7,75.8,71.3,81.9
18.6,2.5,12.3,14.1
9.1,2.4,9.7,10.6
10.2,17.2,9.3,11.6
37.7,32.6,30.1,48.2
68.9,126.7,113.8,48.7
7,4.7,1.2,6.2
22.5,22.6,24.2,22.6
84.2,97.4,84.8,98.5
3.4,0.3,7.3,0.9
10.8,10.7,10.1,14.8
83,83.5,103.9,110.8
211.1,188,154.5,119.4
22.1,30.6,22.4,15.7
1.2,5.9,1.6,1.4
5.2,2.6,11.6,8
9.4,10.3,17.3,25.2
26.5,38,32.3,40.1
0.8,1.1,1.3,4.8
20,24.7,12.7,23.8
1.7,0.6,5.9,0.4
6.6,0.2,1.9,2.6
0.5,11.9,0.3,6.2
18.3,26.7,24.5,45.7
34.7,32.2,15,41
85.2,77.6,78.5,91.6
67.1,132.1,87.7,34.6
29,34,17.5,21.7
22.1,45.9,29.5,43.7
21.8,39,23.2,41.7
7,1.2,1.1,1.9
1.9,2.7,1.8,10.8
